Brand,Year,Engine_CC,Mileage_kmpl,Fuel_Type,Transmission,Kilometers_Driven,Price_Lakh_INR
Kia,2023,1635,24.27,CNG,Automatic,186679,13.33
Toyota,2012,858,25.18,Electric,Automatic,21478,4.91
Tata,2011,2321,16.74,Electric,Manual,122210,26.93
Kia,2020,2196,16.45,Diesel,Automatic,70086,11.38
Honda,2023,2476,22.47,Petrol,Automatic,100607,7.59
Ford,2010,1035,10.05,Electric,Manual,134174,33.75
Tata,2015,1017,24.18,Electric,Manual,187261,32.34
Tata,2009,2350,8.94,Petrol,Automatic,20988,5.04
Kia,2020,2637,12.19,Electric,Automatic,101958,31.63
Hyundai,2011,2229,22.61,Electric,Manual,15441,31.34
Honda,2009,1388,10.16,Petrol,Manual,20609,22.75
Kia,2015,2471,29.38,Diesel,Automatic,139742,19.25
Honda,2019,1716,27.1,Diesel,Automatic,80073,8.78
Honda,2007,2292,21.78,Diesel,Manual,26028,5.57
Ford,2009,1717,26.02,CNG,Manual,187908,21.81
Tata,2009,1933,27.53,Diesel,Manual,79727,29.04
Toyota,2013,2636,13.71,CNG,Automatic,145288,24.57
Ford,2019,2938,26.69,CNG,Manual,150327,7.56
Ford,2007,2705,12.29,CNG,Manual,157913,11.22
Honda,2010,1501,17.09,Petrol,Manual,148650,19.8
Mahindra,2021,2920,20.28,CNG,Automatic,156622,22.44
Tata,2012,2121,23.71,CNG,Automatic,74739,3.92
Hyundai,2015,2328,8.66,Petrol,Automatic,53617,22.07
Ford,2010,2021,14.39,Electric,Manual,122333,26.17
Toyota,2012,1855,21.39,Electric,Manual,198716,7.58
Mahindra,2014,1447,15.86,CNG,Manual,170673,9.75
Mahindra,2007,1559,25.05,Diesel,Manual,10384,10.17
Hyundai,2018,2157,22.34,Electric,Automatic,90554,32.98
Ford,2018,2990,13.16,Diesel,Automatic,76655,15.14
Toyota,2014,2569,11.21,Petrol,Manual,198755,19.27
Tata,2016,1748,21.84,Electric,Manual,108505,25.76
Maruti,2010,2891,17.91,Petrol,Manual,164907,13.94
Toyota,2016,2879,11.72,CNG,Manual,26409,5.04
Hyundai,2018,2566,15.18,Electric,Manual,22676,23.42
Mahindra,2006,827,14.67,CNG,Automatic,165950,23.85
Tata,2013,959,10.38,CNG,Manual,199477,10.23
Toyota,2014,2030,20.03,Petrol,Automatic,140347,2.68
Maruti,2021,817,24.8,Electric,Automatic,144035,23.79
Maruti,2021,1926,20.66,Electric,Manual,111967,25.06
